partnerId,locationId,listingId,link id,override,PL Status
553,8865667,111946717,8865667-111946717,Antimatch,NoPowerListing
553,8865667,111946718,8865667-111946718,Antimatch,NoPowerListing
553,8865667,111946720,8865667-111946720,Antimatch,NoPowerListing
395,8865629,111946730,8865629-111946730,Antimatch,NoPowerListing
553,8865708,111946735,8865708-111946735,Antimatch,NoPowerListing
395,8865516,111946757,8865516-111946757,Antimatch,NoPowerListing
553,8865663,111946784,8865663-111946784,Antimatch,NoPowerListing
553,8865663,111946787,8865663-111946787,Antimatch,NoPowerListing
553,8865663,111946790,8865663-111946790,Antimatch,NoPowerListing
553,8865603,111946793,8865603-111946793,Antimatch,NoPowerListing
483,8865567,111946796,8865567-111946796,Antimatch,NoPowerListing
553,8865592,111946810,8865592-111946810,Antimatch,NoPowerListing
553,8865592,111946811,8865592-111946811,Antimatch,NoPowerListing
553,8865651,111946820,8865651-111946820,Antimatch,NoPowerListing
553,8865651,111946821,8865651-111946821,Antimatch,NoPowerListing
483,9049985,111946829,9049985-111946829,Antimatch,NoPowerListing
483,9049985,111946830,9049985-111946830,Antimatch,NoPowerListing
483,8865542,111946830,8865542-111946830,Antimatch,NoPowerListing
483,8865412,111946837,8865412-111946837,Antimatch,NoPowerListing
553,8865374,111946848,8865374-111946848,Antimatch,NoPowerListing
402,8865674,111946850,8865674-111946850,Antimatch,NoPowerListing
553,8865683,111946894,8865683-111946894,Antimatch,NoPowerListing
553,8865683,111946896,8865683-111946896,Antimatch,NoPowerListing
553,8865639,111946901,8865639-111946901,Antimatch,NoPowerListing
553,8865639,111946902,8865639-111946902,Antimatch,NoPowerListing
553,8865639,111946903,8865639-111946903,Antimatch,NoPowerListing
553,8865639,111946904,8865639-111946904,Antimatch,NoPowerListing
553,8865639,111946905,8865639-111946905,Antimatch,NoPowerListing
553,8865513,111946909,8865513-111946909,Antimatch,NoPowerListing
553,8865714,111946912,8865714-111946912,Antimatch,NoPowerListing
553,8865589,111946914,8865589-111946914,Antimatch,NoPowerListing
553,8865589,111946915,8865589-111946915,Antimatch,NoPowerListing
553,8865589,111946916,8865589-111946916,Antimatch,NoPowerListing
553,8865582,111946924,8865582-111946924,Antimatch,NoPowerListing
553,8865582,111946925,8865582-111946925,Antimatch,NoPowerListing
553,8865582,111946926,8865582-111946926,Antimatch,NoPowerListing
553,8865582,111946928,8865582-111946928,Antimatch,NoPowerListing
553,8865597,111946930,8865597-111946930,Antimatch,NoPowerListing
553,8865597,111946931,8865597-111946931,Antimatch,NoPowerListing
553,8865597,111946932,8865597-111946932,Antimatch,NoPowerListing
553,8865679,111946937,8865679-111946937,Antimatch,NoPowerListing
395,8865319,111946938,8865319-111946938,Antimatch,NoPowerListing
420,8865567,111946940,8865567-111946940,Antimatch,NoPowerListing
553,8865622,111946950,8865622-111946950,Antimatch,NoPowerListing
402,9049985,111946969,9049985-111946969,Antimatch,NoPowerListing
402,8865542,111946971,8865542-111946971,Antimatch,NoPowerListing
402,9049985,111946971,9049985-111946971,Antimatch,NoPowerListing
433,8865668,111946978,8865668-111946978,Antimatch,NoPowerListing
420,8865555,111946989,8865555-111946989,Antimatch,NoPowerListing
402,8865308,111946995,8865308-111946995,Antimatch,NoPowerListing
420,8865668,111947018,8865668-111947018,Antimatch,NoPowerListing
433,8865633,111947028,8865633-111947028,Antimatch,NoPowerListing
402,8865725,111947070,8865725-111947070,Antimatch,NoPowerListing
395,8865683,111947097,8865683-111947097,Antimatch,NoPowerListing
395,8865589,111947107,8865589-111947107,Antimatch,NoPowerListing
402,8865519,111947304,8865519-111947304,Antimatch,NoPowerListing
402,8865516,111947373,8865516-111947373,Antimatch,NoPowerListing
395,8865679,111947524,8865679-111947524,Antimatch,NoPowerListing
420,9049577,111947935,9049577-111947935,Antimatch,NoPowerListing
420,9049577,111947936,9049577-111947936,Antimatch,NoPowerListing
483,8865345,111948296,8865345-111948296,Antimatch,NoPowerListing
402,8865626,111948416,8865626-111948416,Antimatch,NoPowerListing
433,8865667,111948599,8865667-111948599,Antimatch,NoPowerListing
402,8865320,111948624,8865320-111948624,Antimatch,NoPowerListing
402,8865319,111948660,8865319-111948660,Antimatch,NoPowerListing
433,8865394,111948734,8865394-111948734,Antimatch,NoPowerListing
433,8865663,111948871,8865663-111948871,Antimatch,NoPowerListing
420,8865319,111948875,8865319-111948875,Antimatch,NoPowerListing
483,8865589,111948991,8865589-111948991,Antimatch,NoPowerListing
433,8865603,111949055,8865603-111949055,Antimatch,NoPowerListing
433,8865592,111949210,8865592-111949210,Antimatch,NoPowerListing
433,8865651,111949232,8865651-111949232,Antimatch,NoPowerListing
433,8865651,111949233,8865651-111949233,Antimatch,NoPowerListing
433,8865651,111949234,8865651-111949234,Antimatch,NoPowerListing
402,8865458,111949272,8865458-111949272,Antimatch,NoPowerListing
402,8865592,111949436,8865592-111949436,Antimatch,NoPowerListing
402,8865651,111949457,8865651-111949457,Antimatch,NoPowerListing
433,8865376,111950339,8865376-111950339,Antimatch,NoPowerListing
433,8865683,111950489,8865683-111950489,Antimatch,NoPowerListing
433,8865639,111950552,8865639-111950552,Antimatch,NoPowerListing
433,8865589,111950670,8865589-111950670,Antimatch,NoPowerListing
402,8865683,111950689,8865683-111950689,Antimatch,NoPowerListing
433,8865597,111950872,8865597-111950872,Antimatch,NoPowerListing
433,8865582,111950888,8865582-111950888,Antimatch,NoPowerListing
402,8865679,111951321,8865679-111951321,Antimatch,NoPowerListing
402,8865622,111951484,8865622-111951484,Antimatch,NoPowerListing
532,9049872,112020238,9049872-112020238,Antimatch,NoPowerListing
761,8865586,112575497,8865586-112575497,Antimatch,NoPowerListing
761,8865684,112575500,8865684-112575500,Antimatch,NoPowerListing
761,8865685,112575502,8865685-112575502,Antimatch,NoPowerListing
761,8865584,112575504,8865584-112575504,Antimatch,NoPowerListing
761,8865575,112604645,8865575-112604645,Antimatch,NoPowerListing
761,8865691,112604662,8865691-112604662,Antimatch,NoPowerListing
761,8865549,112604675,8865549-112604675,Antimatch,NoPowerListing
761,8865591,112604687,8865591-112604687,Antimatch,NoPowerListing
761,8865659,112604693,8865659-112604693,Antimatch,NoPowerListing
761,8865590,112604696,8865590-112604696,Antimatch,NoPowerListing
761,8865571,112604721,8865571-112604721,Antimatch,NoPowerListing
